issue_date,issue_time,address,latitude,longitude
2025-11-03,12:57:00,960 POST ST,41.6719877,-83.5671962
2025-11-03,12:56:00,MARKET ST & VAN NESS AVE,37.7751044,-122.4193444
2025-11-03,12:56:00,KEARNY ST & SUTTER ST,37.7898399,-122.4038781
2025-11-03,12:55:00,498 CASTRO ST,37.7610843,-122.4353077
2025-11-03,12:54:00,166 GRANT AVE,40.6870325,-73.8682549
2025-11-03,12:53:00,MARKET ST & SOUTH VAN NESS AVE,37.7751044,-122.4193444
2025-11-03,12:53:00,MARKET ST & SOUTH VAN NESS AVE,37.7751044,-122.4193444
2025-11-03,12:50:00,60 MORRIS ST,37.7766802,-122.4025076
2025-11-03,12:47:00,1943 UNION ST,40.66763,-73.923824
2025-11-03,12:47:00,51 STONEYBROOK AVE,37.7300984,-122.4216814
2025-11-03,12:45:00,216 STEINER ST,37.7716127,-122.4318383
2025-11-03,12:44:00,1941 UNION ST,40.6676319,-73.9238586
2025-11-03,12:42:00,4000 MORAGA ST,37.7549752,-122.5057805
2025-11-03,12:40:00,1278 SHAFTER AVE,37.7277868,-122.3846018
2025-11-03,12:37:00,SAN BRUNO AVE & BACON ST,37.7276457,-122.4036308
2025-11-03,12:37:00,3968 24TH ST,37.751714,-122.431176
2025-11-03,12:37:00,495 CLAY ST,37.7948727,-122.4014617
2025-11-03,12:36:00,2204 BAKER ST,37.7913642,-122.4443235
2025-11-03,12:36:00,2201 BAKER ST,37.7913513,-122.4446711
2025-11-03,12:36:00,1614 46TH AVE,37.7563603,-122.5054518
2025-11-03,12:35:00,745 CLEMENTINA ST,37.77469809999999,-122.4113204
2025-11-03,12:34:00,1435 RHODE ISLAND ST,40.4402313,-105.0970744
2025-11-03,12:34:00,SAN BRUNO AVE & BACON ST,37.7276457,-122.4036308
2025-11-03,12:33:00,404 MONTGOMERY ST,37.7931913,-122.4027485
2025-11-03,12:31:00,1180 DE HARO ST,37.7547885,-122.4008219
2025-11-03,12:31:00,1303 GRANT AVE,37.7989198,-122.4074395
2025-11-03,12:30:00,1694 BRODERICK ST,37.7858861,-122.4415005
2025-11-03,12:30:00,1702 MONTGOMERY ST,37.8052179,-122.4048356
2025-11-03,12:29:00,1232 ARGUELLO BLVD,37.7652945,-122.4575961
2025-11-03,12:29:00,456 MONTGOMERY ST,37.7934657,-122.4026469
2025-11-03,12:27:00,2175 MARKET ST,37.7663383,-122.4300466
2025-11-03,12:25:00,220 PINE ST,37.7923244,-122.4008762
2025-11-03,12:24:00,999 NATOMA ST,37.773957,-122.415297
2025-11-03,12:24:00,551 GREEN ST,51.5317988,0.0375281
2025-11-03,12:23:00,1751 NORTH POINT ST,37.8035387,-122.4360258
2025-11-03,12:23:00,1026 WISCONSIN ST,37.7543392,-122.3990426
2025-11-03,12:22:00,541 GREEN ST,51.5320872,0.0373927
2025-11-03,12:22:00,2212 SCOTT ST,29.7357767,-95.34821799999999
2025-11-03,12:21:00,541 GREEN ST,51.5320872,0.0373927
2025-11-03,12:21:00,832 WISCONSIN ST,42.9226887,-85.6869004
2025-11-03,12:21:00,403 PACIFIC AVE,43.0082258,-76.15212939999999
2025-11-03,12:21:00,2210 SCOTT ST,29.7357932,-95.3482114
2025-11-03,12:20:00,1336 05TH AVE,39.7319123,-86.2346743
2025-11-03,12:20:00,201 SCOTT ST,43.1827859,-79.2468272
2025-11-03,12:19:00,401 KEARNY ST,37.791915,-122.404603
2025-11-03,12:19:00,604 WISCONSIN ST,44.3622922,-89.0950039
2025-11-03,12:19:00,2104 SCOTT ST,29.7359861,-95.34813439999999
2025-11-03,12:19:00,250 MALLORCA WAY,37.8031715,-122.4389222
2025-11-03,12:19:00,4 HOWARD ST,37.7923232,-122.3912669
2025-11-03,12:19:00,295 CALIFORNIA ST,42.3656996,-71.1995604
2025-11-03,12:18:00,206 MALLORCA WAY,37.802862,-122.438133
2025-11-03,12:18:00,332 CUMBERLAND ST,45.4301959,-75.6895735
2025-11-03,12:18:00,1972 SCOTT ST,29.7359504,-95.34731239999999
2025-11-03,12:17:00,1491 JEFFERSON ST,48.11312299999999,-122.7637074
2025-11-03,12:17:00,1694 44TH AVE,37.7550718,-122.5032054
2025-11-03,12:17:00,572 WISCONSIN ST,37.760361,-122.39965
2025-11-03,12:17:00,20 MONTGOMERY ST,40.7168839,-74.0349786
2025-11-03,12:16:00,440 PINE ST,37.7921185,-122.4037898
2025-11-03,12:15:00,2103 PIERCE ST,39.7950118,-105.0727779
2025-11-03,12:14:00,57 CASA WAY,37.8055554,-122.4391531
2025-11-03,12:13:00,103 SPEAR ST,37.7920629,-122.3929599
2025-11-03,12:12:00,15 LAPU-LAPU ST,6.1137973,125.1773518
2025-11-03,12:11:00,2415 PIERCE ST,39.7516422,-105.0723528
2025-11-03,12:11:00,390 ASHTON AVE,37.7249099,-122.4620716
2025-11-03,12:11:00,398 FILLMORE ST,37.7730427,-122.4306619
2025-11-03,12:10:00,3 NEW MONTGOMERY ST,37.7887478,-122.401694
2025-11-03,12:10:00,431 BRYANT ST,37.7823543,-122.3941619
2025-11-03,12:09:00,3719 SCOTT ST,29.7216607,-95.35172229999999
2025-11-03,12:09:00,2626 STEINER ST,37.7936817,-122.4363335
2025-11-03,12:08:00,2006 LAGUNA ST,37.7898399,-122.4287705
2025-11-03,12:08:00,1485 PORTOLA DR,42.4257214,-123.3058611
2025-11-03,12:08:00,3258 FOLSOM ST,37.7459026,-122.4137288
2025-11-03,12:07:00,801 KIRKHAM ST,37.7600014,-122.4694351
2025-11-03,12:06:00,6136 FULTON ST,37.77210820000001,-122.4978666
2025-11-03,12:06:00,3500 19TH ST,33.5780263,-101.8912521
2025-11-03,12:06:00,555 TERRY A FRANCOIS BLVD,37.7704293,-122.3864466
2025-11-03,12:05:00,3300 23RD ST,40.7452357,-73.9983296
2025-11-03,12:03:00,682 PAGE ST,37.7730021,-122.4319338
2025-11-03,12:03:00,499 CLAY ST,37.7948677,-122.4015174
2025-11-03,12:02:00,2030 STEINER ST,37.7882075,-122.4351699
2025-11-03,12:01:00,153 KEARNY ST,37.78946699999999,-122.4040481
2025-11-03,12:01:00,304 BRYANT ST,42.9087541,-78.8781473
2025-11-03,12:01:00,1512 CALIFORNIA ST,37.7909741,-122.4193788
2025-11-03,12:00:00,1396 PORTOLA DR,37.7395082,-122.4662303
2025-11-03,11:59:00,1722 STEINER ST,37.7853625,-122.4346707
2025-11-03,11:58:00,543 MARKET ST,39.9510945,-75.1499937
2025-11-03,11:56:00,403 BRYANT ST,37.7828279,-122.3935759
2025-11-03,11:52:00,2526 MISSION ST,37.75650479999999,-122.4191014
2025-11-03,11:51:00,STEINER ST & UNION ST,37.7968937,-122.4371614
2025-11-03,11:50:00,4501 FULTON ST,40.6852467,-73.8666324
2025-11-03,11:49:00,2337 GREENWICH ST,37.7985721,-122.4381521
2025-11-03,11:49:00,2710 BAKER ST,37.7960656,-122.4453209
2025-11-03,11:49:00,334 BOSWORTH ST,37.7334966,-122.4298437
2025-11-03,11:47:00,831 ORTEGA ST,37.7525492,-122.4726003
2025-11-03,11:45:00,645 LA GRANDE AVE,37.7160784,-122.4271034
2025-11-03,11:45:00,STEINER ST & UNION ST,37.7968937,-122.4371614
2025-11-03,11:43:00,3340 BAKER ST,37.8020257,-122.4464363
2025-11-03,11:42:00,930 RUSSIA AVE,37.7178078,-122.4296468
2025-11-03,11:42:00,2801 BRODERICK ST,37.7960594,-122.4437888
2025-11-03,11:41:00,2815 BRODERICK ST,37.7962621,-122.4440894
2025-11-03,11:41:00,186 TOWNSEND ST,53.345836,-6.2557928
2025-11-03,11:41:00,2060 MISSION ST,37.7640248,-122.4197604
2025-11-03,11:33:00,66 28TH ST,42.9122138,-85.6643783
2025-11-03,11:24:00,1511 STOCKTON ST,30.3116951,-81.68800879999999
2025-11-03,11:24:00,3RD ST & BRYANT ST,37.7813252,-122.3958694
2025-11-03,11:23:00,3RD ST & BRYANT ST,37.7813252,-122.3958694
2025-11-03,11:23:00,3RD ST & BRYANT ST,37.7813252,-122.3958694
2025-11-03,11:17:00,652 MARKET ST,37.7884553,-122.4027902
2025-11-03,11:17:00,601 INDIANA ST,38.9728567,-95.24323
2025-11-03,11:16:00,3RD ST & FOLSOM ST,37.7837977,-122.3989747
2025-11-03,11:06:00,FILLMORE ST & SACRAMENTO ST,37.7898485,-122.434053
2025-11-03,11:03:00,2029 SUTTER ST,37.7858797,-122.4335185
2025-11-03,11:00:00,145 CAPP ST,37.7643937,-122.4184978
2025-11-03,11:00:00,961 MISSION ST,37.7814662,-122.4076353
2025-11-03,10:58:00,2053 SUTTER ST,37.7857683,-122.434128
2025-11-03,10:57:00,1144 HAYES ST,37.7754673,-122.4352752
2025-11-03,10:54:00,203 MONTGOMERY ST,38.81362120000001,-77.03972639999999
2025-11-03,10:50:00,FILLMORE ST & PINE ST,37.787964,-122.4336724
2025-11-03,10:49:00,BRYANT ST & 6TH ST,37.77624,-122.40212
2025-11-03,10:45:00,2429 CLAY ST,41.7825449,-80.8418885
2025-11-03,10:45:00,33 MISSION ST,-34.098751,20.9581693
2025-11-03,10:44:00,2429 CLAY ST,41.7825449,-80.8418885
2025-11-03,10:44:00,2011 CHESTNUT ST,39.9523447,-75.1739396
2025-11-03,10:43:00,504 TAYLOR ST,37.7870274,-122.4115524
2025-11-03,10:41:00,234 BLYTHDALE AVE,37.71115169999999,-122.4208661
2025-11-03,10:41:00,POTRERO AVE & 21ST ST,37.757784,-122.4067315
2025-11-03,10:38:00,23 SPEAR ST,37.793119,-122.3949693
2025-11-03,10:38:00,3098 SACRAMENTO ST,37.7885899,-122.4439388
2025-11-03,10:35:00,687 GEARY ST,37.7864236,-122.4145779
2025-11-03,10:33:00,FILLMORE ST & SUTTER ST,37.786101,-122.4332959
2025-11-03,10:31:00,FILLMORE ST & SUTTER ST,37.786101,-122.4332959
2025-11-03,10:29:00,106 DAVIS ST,37.7226348,-122.1653666
2025-11-03,10:28:00,197 STEUART ST,-45.87406130000001,170.5019721
2025-11-03,10:27:00,STOCKTON ST & SUTTER ST,37.7894454,-122.4070016
2025-11-03,10:22:00,799 MARKET ST,37.7856544,-122.4052753
2025-11-03,10:21:00,25 CASTELO AVE,37.7172181,-122.4749958
2025-11-03,10:21:00,1567 KIRKWOOD AVE,37.7375889,-122.389404
2025-11-03,10:20:00,1003 FRONT ST,42.1412191,-75.9041972
2025-11-03,10:17:00,2901 DIVISADERO ST,37.7962696,-122.4420996
2025-11-03,10:16:00,2335 FILBERT ST,40.5792742,-75.43664969999999
2025-11-03,10:15:00,FILLMORE ST & HAIGHT ST,37.7721148,-122.4304723
2025-11-03,10:14:00,180 SPEAR ST,37.7907734,-122.3917608
2025-11-03,10:14:00,4TH ST & MARKET ST,37.7857553,-122.4058724
2025-11-03,10:13:00,2331 LAGUNA ST,36.1858544,-115.9993356
2025-11-03,10:13:00,4398 LINCOLN BLVD,33.9842574,-118.4421522
2025-11-03,10:13:00,300 PAGE ST,37.7739054,-122.4260734
2025-11-03,10:12:00,2924 PIERCE ST,37.7970762,-122.4387584
2025-11-03,10:12:00,FILLMORE ST & HAIGHT ST,37.7721148,-122.4304723
2025-11-03,10:11:00,937 16TH ST,38.9020606,-77.03651649999999
2025-11-03,10:10:00,FILLMORE ST & HAIGHT ST,37.7721148,-122.4304723
2025-11-03,10:07:00,1601 MASONIC AVE,37.7653469,-122.443316
2025-11-03,10:07:00,1215 16TH ST,38.906453,-77.03585799999999
2025-11-03,10:06:00,CROSSOVER DR & LINCOLN ST,37.7658791,-122.4772214
2025-11-03,10:05:00,645 SANTIAGO ST,37.7448487,-122.4745207
2025-11-03,10:05:00,935 QUINTARA ST,37.7484694,-122.4756815
2025-11-03,10:05:00,CROSSOVER DR & LINCOLN ST,37.7658791,-122.4772214
2025-11-03,10:02:00,300 MADRID ST,37.7246727,-122.4307232
2025-11-03,10:00:00,03 MCCOPPIN ST,37.7713452,-122.4206624
2025-11-03,10:00:00,CROSSOVER DR & LINCOLN ST,37.7658791,-122.4772214
2025-11-03,09:58:00,2009 FILBERT ST,39.955872,-76.7727979
2025-11-03,09:58:00,274 HAHN ST,37.7107793,-122.4167945
2025-11-03,09:55:00,303 EMBARCADERO NORTH,37.8089166,-122.414555
2025-11-03,09:55:00,106 DAVIS ST,37.7226348,-122.1653666
2025-11-03,09:49:00,124 PRESIDIO AVE,37.790459,-122.447131
2025-11-03,09:47:00,19TH AVE & IRVING ST,37.7635836,-122.4771459
2025-11-03,09:44:00,695 DOLORES ST,37.75837200000001,-122.425433
2025-11-03,09:43:00,1 SUTTER ST,37.7900416,-122.4008281
2025-11-03,09:42:00,1801 27TH AVE,26.1493798,-80.179019
